7431,7944,-31480
5383,6920,-29176
4871,6152,-28152
4871,4872,-26616
4103,4616,-23544
1799,3592,-19960
-1017,1543,-17400
-1529,1287,-16888
-3833,1287,-15352
-1017,2567,-15352
519,3592,-15096
-1273,1543,-15096
-1529,-1017,-16377
-2041,-1529,-18681
-3321,-2297,-22009
-2809,-2041,-24569
-2553,-2297,-24825
-3065,-3577,-24825
-3065,-3833,-24825
-3577,-3577,-25081
-3577,-3833,-24825
-2297,-4601,-24313
-2297,-6137,-22521
-3065,-7161,-20985
-4089,-8185,-20473
-4857,-9465,-19705
-4857,-10745,-18937
-4857,-11513,-18169
-5113,-11769,-17401
-5625,-11769,-17401
-5369,-11769,-16889
-4601,-12281,-16377
-3833,-12537,-16377
-5625,-14073,-15097
-8441,-15609,-13305
-9977,-17657,-12025
-10489,-17657,-11257
-10233,-17657,-11257
-9721,-17401,-11513
-10233,-17401,-11513
-11257,-17913,-11257
-12025,-18425,-11001
-12281,-18681,-11257
-11513,-17145,-11769
-11257,-16633,-11513
-12025,-17401,-11257
-12281,-18169,-11257
-12793,-18681,-11257
-12793,-18169,-11513
-12025,-17145,-11257
-12281,-17145,-11001
-12793,-18169,-11001
-13305,-18681,-11257
-12793,-17401,-10745
-10745,-15097,-9465
-10489,-14841,-8953
-12025,-16633,-8953
-12793,-17145,-9465
-12793,-16889,-9209
-11769,-16889,-9209
-11769,-16889,-8441
-12537,-16889,-8697
-12537,-16633,-8953
-12025,-16633,-8953
-10489,-16889,-9209
-10489,-16889,-9465
-12025,-17145,-8697
-12281,-16889,-8441
-11513,-16633,-8953
-11513,-16633,-8697
-11769,-16377,-8441
-12281,-16121,-8697
-11769,-16121,-8697
-11001,-16121,-8697
-11257,-15865,-8697
-11769,-15865,-8697
-12281,-16633,-8697
-12793,-17657,-8441
-12537,-17657,-9209
-10745,-15609,-9209
-7929,-11769,-8185
-7929,-11513,-7929
-8441,-12281,-7929
-10489,-14585,-7929
-10489,-14841,-7929
-10233,-14329,-8697
-9977,-13049,-8441
-10233,-13049,-7673
-11513,-13305,-7673
-10489,-13305,-7417
-8697,-12537,-7673
-7673,-11513,-8185
-7417,-11513,-7929
-7161,-11257,-7929
-6905,-13561,-8185
-5881,-15353,-8185
-4345,-12025,-7929
-2297,1799,-9720
2311,23816,-17144
11015,-20472,-28920
17159,-2552,26376
16647,9736,19977
4615,15624,19721
-19705,15367,27913
29191,-505,-25848
24327,-31737,-12536
15623,-761,4359
11272,-9465,8967
6920,15111,24071
12808,8455,27655
21000,11271,26887
29960,19463,21511
-24056,31495,13319
-12536,-24057,3335
-7672,-19193,-4089
-6905,-17913,-7673
-4601,-16121,-9209
-3065,-16889,-8697
-3833,-19193,-7417
-4089,-19193,-7417
-3577,-17913,-8953
-2809,-17657,-10233
-2041,-18169,-9209
-1785,-18169,-8697
-1785,-17913,-9209
-761,-17913,-9977
1031,-17912,-9977
1799,-18168,-10233
1031,-18424,-9977
1031,-18680,-10489
1799,-18936,-11001
3079,-18168,-11001
3847,-17144,-11257
4871,-16120,-11513
4871,-16120,-11513
5639,-15352,-11257
5895,-15096,-9721
5639,-13816,-8441
6151,-12280,-8697
7687,-10488,-8441
8711,-8696,-8441
8455,-7672,-8953
8711,-7160,-10489
8967,-8184,-12537
9223,-8184,-14073
11271,-6136,-17145
11271,-4856,-20473
11527,-4088,-22009
11783,-2808,-21753
11271,-3064,-21753
10503,-3320,-21753
9991,-3320,-21497
10503,-2552,-21241
11271,-2296,-21241
11527,-2296,-20217
11015,-2296,-19449
10503,-2040,-18681
9735,-1784,-18681
9991,-248,-18681
11015,1032,-18424
10759,2056,-18424
9991,2568,-18680
9479,3592,-17912
9479,4104,-17912
9479,4360,-16632
6919,4104,-14584
3847,3336,-13048
2311,1288,-12024
1031,264,-11256
775,520,-10232
775,1032,-9720
263,776,-9976
-249,-249,-9465
-505,-1017,-8697
-1529,-1273,-8441
-2041,-1273,-7929
-2041,-1529,-7673
-2297,-2297,-7673
-2041,-2809,-7161
-1785,-2809,-7161
-1529,-2809,-7161
-2297,-4089,-6905
-2809,-4857,-6905
-1529,-3833,-6649
-249,-2809,-6905
-505,-2809,-7161
-505,-3065,-6905
-249,-3321,-7161
7,-3832,-7929
1031,-4088,-8697
1543,-3576,-8953
1287,-3064,-8953
263,-3576,-8953
7,-5368,-8953
-249,-5625,-9209
1031,-3320,-8953
2311,-1528,-8441
1543,-1784,-8185
1287,-3576,-8185
1287,-4344,-8697
263,-4344,-9209
7,-4344,-8953
263,-4856,-8441
7,-5624,-7929
263,-5368,-7929
519,-5112,-8185
775,-5112,-7673
7,-5112,-7161
-1017,-5625,-6649
-1017,-5625,-6393
-505,-5369,-6649
-505,-5113,-6905
-761,-5113,-6649
-249,-5369,-6393
-249,-5881,-6393
-505,-6137,-6137
-761,-6137,-6137
-1529,-5881,-6393
-1785,-5881,-6137
-1273,-5881,-5881
-1017,-5625,-5881
-1017,-5369,-5881
-1273,-4601,-5369
-1529,-4601,-5113
-1017,-4601,-4857
775,-2808,-5113
263,-2040,-5369
-1785,-4345,-5113
-1529,-8441,-5369
263,-10744,-5113
263,-5112,-4345
3079,13832,-8696
3591,21512,-11256
16903,-6392,-29944
19975,9480,27145
17415,16904,22537
1287,18952,27401
-25849,9479,-22263
25863,-16889,-6136
20999,15367,8968
11016,-15609,23559
7176,24327,32519
14600,15367,-31481
23048,16391,-32761
-32504,22791,27655
-22008,-31993,17671
-11512,-19961,4615
-3320,-14073,-3577
-505,-12537,-5113
519,-11768,-6137
263,-11512,-7417
263,-13304,-6649
1799,-14072,-5881
2823,-13048,-5881
3847,-11512,-6393
4359,-11512,-6393
3591,-13304,-6393
2567,-14072,-6393
2311,-14328,-6649
3079,-14328,-6905
5127,-14328,-7929
5895,-14584,-7929
5127,-14840,-7929
5127,-14840,-8185
6663,-14840,-8697
7943,-14840,-9721
7943,-15096,-9465
7943,-14584,-9209
8967,-13816,-9977
9479,-13304,-10489
9223,-13304,-9721
9479,-12792,-7929
9735,-11768,-6905
11271,-9720,-6905
13831,-7416,-7673
14343,-6648,-8441
14087,-5368,-8697
15367,-4344,-8697
15623,-4344,-9977
14343,-5624,-13305
14599,-4856,-16633
15367,-2040,-18937
16647,-760,-19449
17159,8,-21240
16391,-760,-23033
17415,1800,-23032
18695,3592,-22776
17671,3336,-23032
16135,3336,-22008
14343,2568,-20472
13575,2568,-19960
13831,2312,-18936
13063,2824,-18168
11527,2824,-17656
10759,2312,-16632
10759,2824,-15864
10503,3080,-15096
8967,3080,-14072
7943,3080,-13304
7943,2056,-12280
7687,520,-11256
5639,8,-9976
3335,-760,-8953
2311,-1272,-7929
2311,-2040,-7161
1287,-2808,-6905
-505,-2553,-6649
-1017,-2553,-6393
-1017,-3065,-6649
-1017,-3577,-6649
-2041,-4345,-6393
-2553,-4601,-6649
-2809,-6393,-7161
-1785,-6393,-7417
263,-4088,-7161
263,-4344,-7417
263,-4344,-7417
7,-4856,-6649
-1017,-7161,-6649
-1017,-7161,-6649
-761,-7161,-6649
-761,-7417,-6905
-1017,-7417,-6905
-1785,-7929,-6905
-2041,-7929,-5881
-1273,-7417,-4857
-505,-7161,-5625
-761,-7929,-6137
-1017,-8441,-6393
-2041,-8441,-5113
-2297,-8441,-3833
-761,-8185,-3833
-505,-8185,-4601
-1017,-8697,-4857
-1017,-8697,-4857
-3833,-10489,-4857
-2297,-9465,-4857
2055,-5624,-4345
2055,-5368,-4089
-761,-7417,-3577
-1529,-7673,-3321
-1529,-7929,-3577
-1529,-8441,-3833
-1273,-8697,-3833
-1273,-8697,-3833
-1529,-8441,-4089
7,-6904,-3833
7,-7160,-3833
-2297,-9209,-3065
-1529,-8441,-3065
-761,-7673,-3321
-1017,-7417,-3321
-1017,-7417,-2809
-1273,-8185,-2553
-2041,-8697,-3321
-1273,-8185,-4345
-1273,-7929,-4089
-1273,-8185,-3577
-1273,-8697,-3321
-1785,-8953,-3321
-1785,-8185,-3321
-2297,-7417,-3833
-2041,-8185,-3833
7,-10232,-3577
-505,-14841,-3833
-505,-9977,-3577
3847,9992,-6648
11527,32520,-15864
19463,-13048,-28152
23303,2056,27657
20743,9736,23817
2567,13320,28937
-27129,5639,-23031
25095,-17401,-9464
23303,15111,5384
11016,-20473,22279
5384,19207,31751
9992,5895,-31225
17928,4871,-31225
31240,14087,32007
-23544,24583,25095
-15864,-31225,11783
-12280,-28665,7687
-504,-17913,-2553
519,-16632,-4345
263,-17144,-5881
775,-19192,-6137
2055,-19192,-5881
3335,-18168,-6905
3079,-18168,-8441
1799,-19192,-8441
3079,-18936,-7417
3591,-18936,-7673
3847,-18936,-7673
4871,-19192,-7673
4359,-21496,-8185
5127,-21752,-8185
5639,-20728,-9209
4359,-20728,-10745
6151,-19448,-11001
7431,-19704,-10745
8199,-20472,-10489
10503,-18936,-11513
10759,-19192,-12793
10247,-19704,-12793
11527,-16888,-12537
12551,-16888,-12537
13063,-16888,-13305
13319,-15864,-12281
10503,-17656,-11513
10503,-15608,-10489
15879,-9464,-10489
19463,-6648,-11513
18695,-6904,-11257
17159,-7160,-11513
17927,-6904,-14841
18695,-6904,-19449
18951,-4088,-22777
19207,-3064,-22777
18183,-4600,-23033
17927,-3576,-24569
18439,-1272,-26361
17927,-504,-26361
17927,776,-25848
18439,1032,-25336
17159,8,-24312
