-4344,-14073,17927
-4856,-13817,16903
-4856,-13305,16647
-4344,-12281,17927
-3064,-10745,19207
-1528,-8697,19463
-1272,-5881,19463
-760,-6137,19207
264,-4344,18183
776,-1784,13063
1288,264,7688
4360,2824,5896
6920,5640,4872
7688,6664,4360
9224,7176,4104
9224,4872,5384
7688,-248,7175
3848,-5112,11015
-1016,-8441,13831
-3064,-9721,15367
-3064,-11001,16391
-3320,-13817,17671
-4088,-16121,17671
-4088,-16377,17415
-4344,-16377,17671
-4088,-17401,17927
-3832,-17401,17671
-3832,-17145,18183
-4344,-17145,17927
-4344,-16889,18183
-3832,-17401,17927
-3832,-19705,18695
-3832,-20729,19463
-7672,-28153,26631
-7672,-28921,26375
-6648,-25337,20231
-2040,-12025,8967
5128,6408,-6392
14855,24584,-27128
24583,-24568,18184
30471,-21496,6920
-32505,-31224,6408
28167,22792,21000
16903,15368,-26360
8967,8712,-12024
4871,8,-760
2055,-7160,7175
8,-11512,11015
-1784,-14073,13319
-2040,-14073,14855
-1528,-13817,15367
-1528,-13817,15367
-1784,-15097,15879
-1528,-15097,16391
-1272,-13817,16135
-1272,-13561,15879
-1272,-13561,15623
-1272,-14073,15623
-1528,-14329,15623
-1528,-13561,15879
-1272,-12537,15111
-1016,-12281,14599
8,-12536,14343
8,-12792,14087
8,-12792,14087
-504,-13049,14087
-1016,-12793,13319
-504,-12537,12807
8,-12280,12551
8,-12280,12807
264,-12280,12807
264,-12536,12295
264,-12792,11527
264,-12792,11527
520,-12536,11527
776,-12792,11783
776,-12792,10759
520,-12792,10247
776,-12792,9991
776,-12536,9735
776,-13304,9735
1032,-14072,8967
1032,-14328,8711
776,-15864,8711
520,-16632,8967
520,-18168,8199
520,-19192,7687
776,-19960,7687
776,-21496,7943
-248,-23545,7943
-1016,-24569,8199
-2040,-25337,9223
-2552,-26873,8967
-3064,-28409,9479
-3576,-29177,10247
-3576,-28921,11015
-3576,-29177,11783
-4600,-29433,12551
-5880,-29433,13575
-5880,-27897,14087
-5880,-25849,15111
-5624,-24569,15111
-5624,-23801,14855
-5880,-22009,14343
-5112,-19193,13831
-3832,-17913,13575
-3576,-17401,13063
-3832,-17145,12551
-3320,-13561,11527
-2808,-12281,11527
-2040,-12025,11015
-1272,-11769,10247
-1272,-10745,9991
-1528,-9977,9991
-1272,-9977,9735
-1016,-9977,9223
-1528,-9977,9223
-1272,-9721,9735
-1016,-8185,10247
-248,-6137,10503
1032,-3832,10247
2056,-1784,9223
2568,-248,8711
3336,2568,6152
4360,4360,520
5896,5128,-2552
7175,6408,-3064
9479,9480,-4088
12295,11784,-5368
12551,10504,-5112
11783,7176,-3320
8711,3080,8
6408,1032,520
776,-4600,4615
264,-6392,5383
-248,-7417,6919
-760,-8697,7431
-1272,-9209,7175
-1272,-9209,7175
-1272,-9977,7431
-1016,-9977,6919
-504,-9977,6919
-504,-9977,6407
-760,-8953,6151
-760,-9209,6407
-760,-9465,6151
-760,-13305,8455
-3064,-19449,12807
-5368,-22265,15367
-5368,-20217,13063
-2808,-11257,5383
2568,5384,-7416
8455,23304,-25848
15879,-23800,19464
23047,-13304,3592
27399,-16120,-4088
24070,-23800,4104
19975,-27384,9480
7175,23048,-27640
5639,12552,-15352
3335,2568,-6648
1031,-3576,-1273
775,-7160,2311
520,-8952,4615
776,-8952,5383
520,-9720,5895
