16905,-28922,12552
14345,-3834,25095
7944,15878,26631
2311,-19194,-30202
3846,26374,-2298
13573,17926,-19194
26373,18950,-17914
28421,21510,-15866
-28411,-29690,7942
-27898,-22010,24070
-27898,-16122,-26618
-27898,-9978,-14330
-27898,-2810,-3578
-28666,1286,4871
-29177,3078,11783
-29177,5894,16903
-28921,9990,21511
-28665,13062,26119
-27641,13318,29703
-27641,14086,32007
-27385,16902,-31225
-27641,18950,-29177
-28665,18694,-26873
-27897,18694,-25593
-26873,20486,-24825
-26361,22534,-23801
-26105,23046,-22265
-25849,23302,-21753
-26105,24326,-20473
-25081,26886,-18681
-24313,29190,-16377
-24057,30214,-15097
-25081,30982,-14585
-24057,-28154,-11001
-23033,-24314,-7673
-22009,-20730,-4857
-22265,-16634,-2041
-22521,-11258,1287
-22008,-5370,5127
-22008,-1786,8455
-21752,1030,9992
-22776,5382,11528
-24056,9222,13832
-24056,12038,16136
-24312,13062,17416
-25080,15622,18952
-27128,17414,20232
-28408,17158,20488
-28920,14598,20232
-29432,11782,18184
-30712,8966,15624
-30712,4870,13576
-30712,-1018,10503
-30456,-6906,6407
-30712,-11258,2055
-31736,-16122,-1529
-31737,-21242,-4089
-31737,-23802,-5369
-31481,-29946,-10745
-32249,-32762,-13817
32263,29190,-15865
32263,25606,-17401
-32761,23814,-19193
-32249,23046,-20217
-32249,20998,-20985
-32505,18950,-21497
-32249,17670,-22009
-32505,17414,-22265
-32249,16902,-22009
-32505,15110,-20729
-32249,14598,-19449
-32249,14854,-18169
-32505,14598,-17401
-32761,13830,-15609
32263,13062,-14585
32263,12806,-13305
-32249,13318,-12793
-30713,13062,-12793
-30457,12038,-12025
-29945,11270,-12793
-29689,10758,-14841
-28153,10758,-16377
-28153,10502,-16633
-28153,10246,-16377
-28153,10502,-16121
-27385,11270,-15353
-26105,12550,-14841
-26617,13574,-13817
-28153,14342,-13561
-27897,16646,-13049
-27641,18694,-11769
-27385,19718,-11001
-28153,20742,-10489
-30201,22022,-10489
-30457,23814,-10745
-30457,24838,-10745
-29945,24838,-12537
-30201,23558,-15609
-31481,22790,-18681
-32761,22790,-19449
30727,23302,-20729
29447,28934,-20985
27143,-22778,-13049
21255,6,3336
14600,23814,20488
8712,-23802,-30456
4104,-9210,-12280
1032,-5114,-4344
3592,4870,-30455
12297,262,-26871
17673,-19706,16392
16905,9990,-29688
9736,30214,-27129
3335,-9722,-22522
3846,30726,-1274
12549,20742,-22266
24325,19974,-24826
-32507,25606,-15610
-27899,-32250,-2554
-26619,-24570,13318
-26618,-17914,28678
-28154,-12538,-25338
-28410,-7162,-15866
-27898,-2298,-6394
-27642,774,2055
-27385,3334,6919
-28153,5382,10247
-28153,8198,15111
-28409,9990,19719
-27385,11014,22791
-27385,12550,23815
-27385,14342,25863
-27897,15110,28167
-27129,15622,31239
-26873,16902,31239
-26617,18182,32263
-25849,19974,-30457
-25081,20998,-28409
-25081,22022,-28409
-24825,24070,-27129
-24057,26630,-24825
-24057,28422,-22777
-23289,30726,-20985
-22521,-30970,-19449
-21497,-26618,-15353
-20985,-22778,-11257
-20985,-18938,-8953
-20985,-14074,-7161
-20985,-8954,-2809
-21241,-4858,1543
-21240,-762,4103
-21752,2822,5384
-22008,6662,7944
-23800,9478,11016
-25592,11014,12296
-25848,12806,12552
-25848,14342,13576
-27128,14342,14856
-28152,12550,14856
-29432,9478,12040
-29432,5894,8968
-29688,1286,6920
-30200,-3578,4871
-30712,-8954,-249
-30457,-14330,-4857
-30201,-19194,-7161
-30457,-24058,-9465
-30713,-28666,-13049
-30713,-32506,-17145
-30457,29702,-19449
-30457,26374,-20217
-30457,23558,-22265
-30201,21510,-25593
-30457,19718,-26617
-30969,17926,-26617
-30969,16646,-27385
-30713,15366,-28409
-30713,14598,-28921
-30713,13574,-28921
-30969,12550,-28409
-30713,11526,-27897
-30713,11270,-27129
-31225,11014,-26873
-30201,10758,-23801
-30201,11014,-22521
-30457,11014,-20985
-30457,11014,-19961
-30713,11014,-18425
-30201,11526,-17401
-28665,11526,-17401
-26873,11782,-17657
-26873,11526,-17657
-26873,10758,-19449
-26105,10502,-19961
-25849,11782,-19449
-26105,13062,-18169
-25849,13574,-17145
-26105,13830,-16889
-25337,15622,-16377
-25337,17158,-15609
-25337,18438,-14585
-25337,19462,-14073
-26361,20998,-13817
-26873,23046,-12793
-27385,24582,-12025
-27897,25094,-12537
-28665,25350,-14585
-29945,25350,-15609
-29945,24582,-19449
-29689,23814,-21497
-30713,23302,-23289
-32761,24582,-25081
30471,30470,-24569
27911,-20730,-15353
22791,1030,520
15624,24070,16648
8712,-22522,31752
4104,-8442,-14328
1288,1030,9737
4617,4870,29193
12297,-1530,31496
18441,-22266,10248
17929,5638,27656
11016,25350,29447
4615,-12794,-29946
5126,28678,-6906
15109,19462,-26106
26885,19718,-28410
-31995,26630,-18938
-27899,-29946,-4090
-25595,-21754,13062
-25850,-15098,27654
-27642,-13050,30726
-27642,-2554,-15610
-26618,2310,-5113
-26362,5382,2055
-26617,7686,6919
-27385,11526,11527
-27385,13830,17415
-26361,14854,21255
-26361,15878,22535
-26105,17670,24583
-26361,19718,28167
-25849,20486,30727
-24825,20998,31751
-24825,22790,31751
-25081,24070,-31481
-25337,24838,-29433
-25337,25350,-28921
-24313,27142,-28409
-23545,29958,-25593
-23801,31494,-23289
-23289,-32250,-22009
-22521,-29946,-21241
-21497,-25594,-17913
-21241,-21242,-13817
-20729,-18170,-11001
-20985,-16890,-11001
-20473,-8442,-5625
-20729,-3578,-1273
-21241,262,2824
-22008,4358,5384
-21752,8966,7688
-22264,12294,10248
-23032,14854,13064
-24056,16902,14344
-24824,19206,15368
-26104,21254,16904
-26872,21254,18440
-27640,20230,18440
-27896,18694,17160
-28408,15366,14856
-29432,10502,12552
-30456,5382,9224
-30200,518,5896
-29944,-4090,2567
-29944,-9722,-1017
-29689,-15098,-4089
-29689,-18938,-7417
-29945,-23034,-11257
-29689,-26874,-13305
-30969,-30458,-14841
-32505,-31226,-15865
-30457,30470,-19193
-29945,28166,-20729
-30201,25862,-21241
-30713,24070,-22521
-30969,23814,-23545
-30969,22790,-23801
-30969,20742,-23545
-30969,19718,-23289
-30969,19462,-23289
-30713,18694,-22265
-30969,17926,-20729
-31225,17414,-18937
-30969,17414,-17401
-30713,17926,-15609
-30969,17670,-14329
-30457,17926,-12537
-30201,18438,-11257
-29689,18694,-10489
-28921,18694,-9977
-27897,18694,-9977
-27129,18950,-10233
-26361,19206,-10745
-25593,19206,-11001
-25593,19974,-10745
-26105,20742,-10233
-25849,22278,-8697
-26361,22534,-8441
-26105,24326,-6905
-26105,26118,-6137
-26361,26374,-6137
-26873,27142,-6393
-28409,28678,-6137
-28665,30982,-4601
-29177,32518,-4089
-29945,32518,-5369
-29945,32262,-7673
-30201,32006,-10489
-30713,30982,-12537
-31481,29446,-14329
-32761,29446,-16889
30983,30726,-18681
28423,-27898,-16889
24839,-13818,-7929
19207,8454,7944
13064,32006,24328
6920,-15354,-25336
1032,-3066,-6392
-2296,6149,16905
2313,9990,-28919
4617,9990,-24823
16649,-21498,11272
15113,4870,26888
9224,24838,28423
4103,-13306,-29434
5382,29958,-3322
14341,22022,-21242
25861,23046,-22266
-32507,30982,-11514
-28667,-25082,4358
-27386,-17146,20486
-27642,-11258,-30714
-27898,-4602,-18426
-28666,2054,-7673
-29178,6406,1543
-29433,8966,8199
-29433,12038,14087
-29433,15622,19719
-28665,18182,24327
-28409,18950,27399
-28665,19974,29959
-28665,22534,32007
-28921,24582,-29945
-28665,24838,-27897
-28153,24838,-27385
-28153,26118,-27385
-27897,28422,-24569
-27641,28934,-22265
-26361,29190,-21753
-25081,31494,-20217
-25593,-31226,-17913
-26105,-29690,-16121
-25337,-28410,-14585
-23801,-25082,-12793
-23289,-20730,-9977
-23033,-17402,-6393
-23545,-14586,-3833
-22777,-9722,-761
-22521,-4090,3335
-22008,774,7432
-22264,4102,9992
-23800,7430,12552
-24312,12806,15880
-24824,16646,18696
-24824,18182,20744
-25848,19974,21512
-28408,22534,22280
-29688,23814,24328
-29944,23046,24840
-30456,21254,24328
-31224,20998,24072
-32504,16902,21768
-32248,11782,18696
-32504,6150,15368
32520,1030,11784
32520,-3578,8199
-32504,-8954,4615
-32248,-15098,1287
-32760,-19450,-2041
32007,-22778,-4601
30983,-26106,-7161
30983,-29690,-9209
32007,-32762,-10745
32007,30982,-12281
32007,29446,-13817
32007,26886,-14841
32263,24838,-15609
31751,24838,-16377
31751,23814,-16377
31751,22534,-16121
31751,20742,-16121
31751,20486,-16121
-32761,19974,-14585
32519,18950,-13049
32263,18182,-12025
31495,18438,-11769
32007,19206,-8185
32519,19206,-5625
-32761,19206,-4345
-32505,19206,-3833
-32761,19462,-3321
-32505,19462,-2297
-31225,19718,-2297
-28921,19718,-2809
-28409,19462,-3833
-28409,19462,-3321
-28409,19974,-2297
-28921,20486,-2041
-28921,21766,-1529
-29177,22790,-1017
-29177,23558,7
-28920,24838,775
-29688,25862,519
-30968,27142,519
-31224,28678,1031
-31224,30470,2823
-31480,31750,2823
-31992,32262,1543
-31736,32262,-249
-32249,31494,-2809
-32505,30726,-4089
31495,29190,-7929
30215,29190,-10233
29447,30470,-10745
27399,-30714,-9977
23815,-17146,-2553
17927,4870,12552
11272,28166,29704
